report_id,occur_location,shift_type,location_type,crime_description,occur_neighborhood,occur_latitude,occur_longitude,occur_time
172560391,542 PEEPLES ST SW,Morning Watch,20,BURGLARY-RESIDENCE,West End,33.74015,-84.42026,2017-09-13 03:46:00
172560984,1194 WARFIELD ST NW,Day Watch,20,BURGLARY-RESIDENCE,Knight Park/Howell Station,33.78045,-84.42631999999999,2017-09-13 09:30:00
172561602,2473 GLENWOOD AVE SE,Evening Watch,20,BURGLARY-RESIDENCE,East Lake,33.739670000000004,-84.30603,2017-09-13 14:45:00
172561697,1783 JOHNSON RD NW,Evening Watch,26,BURGLARY-RESIDENCE,Rockdale,33.785470000000004,-84.44593,2017-09-13 15:33:00
172560359,1723 LAKEWOOD AVE SE,Morning Watch,8,BURGLARY-NONRES,Lakewood Heights,33.70678,-84.38031,2017-09-13 03:08:00
172561007,412 SAWTELL AVE SE,Morning Watch,99,BURGLARY-NONRES,Lakewood Heights,33.708220000000004,-84.37541,2017-09-13 05:30:00
172560118,1800 MEMORIAL DR SE,Morning Watch,26,BURGLARY-RESIDENCE,Kirkwood,33.74752,-84.3291,2017-09-13 01:05:00
172562627,705 CRESTWELL CIR SW,Morning Watch,20,BURGLARY-RESIDENCE,Mays,33.74527,-84.50273,2017-09-13 09:30:00
172560445,2286 PEACHTREE RD NW,Morning Watch,5,BURGLARY-NONRES,,33.81728,-84.39144,2017-09-13 04:20:00
172561621,195 FAIRBURN RD NW,Evening Watch,26,AGG ASSAULT,Adamsville,33.76072,-84.50421,2017-09-13 15:01:00
172560468,192 JOE LOUIS DR NW,Morning Watch,13,AGG ASSAULT,Dixie Hills,33.759190000000004,-84.46021,2017-09-13 04:30:00
172561312,1384 KIPLING STREET SE,Day Watch,13,AGG ASSAULT,Thomasville Heights,33.69704,-84.35319,2017-09-13 12:00:00
172562087,258 WYNNWOOD DR SW,Evening Watch,13,AGG ASSAULT,Florida Heights,33.74872,-84.45845,2017-09-13 17:32:00
172562277,1562 EZRA CHURCH DR NW,Evening Watch,13,AUTO THEFT,West Lake,33.75658,-84.43866,2017-09-13 18:00:00
172562311,101 BURRE LN SW,Evening Watch,20,AUTO THEFT,Baker Hills,33.75699,-84.51727,2017-09-13 18:45:00
172562636,354 MARTIN ST SE,Evening Watch,13,AUTO THEFT,Capitol Gateway,33.745090000000005,-84.38374,2017-09-13 21:40:00
172562690,2083 OLD GEORGIAN TER NW,Morning Watch,20,AUTO THEFT,Whittier Mill Village,33.81159,-84.48085,2017-09-13 22:30:00
172560405,2100 METROPOLITAN PKWY SW,Morning Watch,23,ROBBERY-PEDESTRIAN,Sylvan Hills,33.696999999999996,-84.40768,2017-09-13 03:57:00
172560529,410 THOMASVILLE BLVD SE,Morning Watch,13,ROBBERY-PEDESTRIAN,Thomasville Heights,33.70531,-84.35852,2017-09-13 04:30:00
172560578,3220 TELFORD TER SW,Unknown,13,ROBBERY-PEDESTRIAN,Princeton Lakes,33.668009999999995,-84.51223,2017-09-13 06:25:00
