user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
503796,ATLANTIC STATION,33.79151167,-84.39623167,ATLANTIC STATION,33.79153167,-84.39630333,0.08,0.75,2017-09-14 00:08:00,2017-09-14 00:13:00
503796,ATLANTIC STATION,33.791545,-84.39639667,ATLANTIC STATION,33.79151667,-84.39632667,0.05,0.45,2017-09-14 00:13:00,2017-09-14 00:16:00
528737,AUC - WOODRUFF LIBRARY,33.75217333,-84.41330833,AUC - WOODRUFF LIBRARY,33.75205,-84.413325,1.53,0.0,2017-09-14 00:18:00,2017-09-14 00:44:00
529805,AUC - WOODRUFF LIBRARY,33.75196167,-84.413245,AUC - WOODRUFF LIBRARY,33.752025,-84.41331,1.08,0.0,2017-09-14 00:18:00,2017-09-14 00:42:00
528758,AUC - WOODRUFF LIBRARY,33.751875,-84.41334,AUC - WOODRUFF LIBRARY,33.75204167,-84.413315,1.7,0.0,2017-09-14 00:18:00,2017-09-14 00:45:00
529821,AUC - WOODRUFF LIBRARY,33.75192,-84.413265,AUC - WOODRUFF LIBRARY,33.75200667,-84.413305,1.79,0.0,2017-09-14 00:19:00,2017-09-14 00:45:00
464410,MARTA - FIVE POINTS ,33.75356833,-84.39099833,GSU ARTS & HUMANITIES BLDG,33.75429833,-84.38636667,0.36,0.0,2017-09-14 00:39:00,2017-09-14 00:43:00
529805,AUC - WOODRUFF LIBRARY,33.75185667,-84.41336667,AUC - WOODRUFF LIBRARY,33.75194333,-84.41331167,0.01,0.0,2017-09-14 00:43:00,2017-09-14 00:46:00
503796,GRANT PARK ,33.73582,-84.37360333,MARTA - KING MEMORIAL ,33.75013,-84.37606333,2.61,12.9,2017-09-14 00:49:00,2017-09-14 02:15:00
503796,GRANT PARK ,33.73584167,-84.37372667,MARTA - KING MEMORIAL ,33.75013667,-84.37615,2.47,13.2,2017-09-14 00:49:00,2017-09-14 02:17:00
503796,GRANT PARK ,33.73582167,-84.373525,MARTA - KING MEMORIAL ,33.750115,-84.37608333,2.6,12.9,2017-09-14 00:50:00,2017-09-14 02:15:00
522860,AUC - WOODRUFF LIBRARY,33.75197667,-84.41331167,AUC - WOODRUFF LIBRARY,33.75198167,-84.41328667,0.52,0.0,2017-09-14 01:26:00,2017-09-14 01:42:00
523244,AUC - WOODRUFF LIBRARY,33.75195,-84.41319833,AUC - WOODRUFF LIBRARY,33.75201333,-84.41329667,0.52,0.0,2017-09-14 01:26:00,2017-09-14 01:42:00
503796,MARTA - KING MEMORIAL ,33.74994833,-84.376135,MARTA - KING MEMORIAL ,33.75009,-84.37602833,4.68,13.05,2017-09-14 02:17:00,2017-09-14 03:43:00
503796,MARTA - KING MEMORIAL ,33.74998833,-84.37593,GRANT PARK ,33.73581667,-84.37358667,3.2,9.3,2017-09-14 02:17:00,2017-09-14 03:18:00
503796,CHEROKEE & WOODWARD,33.745685,-84.37336,MARTA - KING MEMORIAL ,33.75004833,-84.376075,4.14,10.65,2017-09-14 02:33:00,2017-09-14 03:43:00
354346,PONCE - HIGHLAND,33.77319167,-84.3525,INMAN PARK VILLAGE,33.76188167,-84.35996,1.05,0.0,2017-09-14 06:03:00,2017-09-14 06:10:00
490541,TECH SQUARE ,33.77674,-84.38902333,GEORGIA TECH - CRC,33.77561333,-84.40250667,1.01,0.0,2017-09-14 06:24:00,2017-09-14 06:31:00
280012,,33.74908333,-84.42373667,GSU MARTA,33.75083167,-84.38599667,2.82,0.0,2017-09-14 06:43:00,2017-09-14 07:09:00
180561,NELSON ST BRIDGE,33.75228333,-84.39781667,CENTENNIAL OLYMPIC PARK,33.76036833,-84.39465167,0.78,0.0,2017-09-14 06:46:00,2017-09-14 06:51:00
394003,MARTA - INMAN PARK ,33.75743833,-84.35387167,PEACHTREE CENTER MALL,33.75990833,-84.38583333,2.29,0.0,2017-09-14 06:51:00,2017-09-14 07:05:00
344718,PARK & MEMORIAL,33.74634667,-84.369775,GSU MARTA,33.75088,-84.38591667,1.33,0.0,2017-09-14 07:02:00,2017-09-14 07:13:00
